"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"beta",0.1,0.090396132965335,0.0615783127373708,0.132700304568875,0.0557106988736374,0.125081567057033,1.15600000000001,"Bessel","Adaptive",13
"mu",15,13.3912481314445,9.12211687253814,19.6583237228379,8.2530644765264,18.5294317863627,2.21299999999999,"Full","Fixed",13
"beta",0.1,0.0903961329645979,0.0615783127356684,0.132700304570379,0.0557106988730728,0.125081567056123,2.21299999999999,"Full","Fixed",13
"mu",15,13.3912356554348,9.12210722021154,19.658307894262,8.25305693104623,18.5294143798234,0.601999999999997,"Full","Adaptive",13
"beta",0.1,0.0903960099901436,0.0615782112443397,0.13270016223294,0.0557106240451957,0.125081395935091,0.601999999999997,"Full","Adaptive",13
"mu",15,24.3948584095572,16.5542139035361,35.9491015574725,14.9362482563228,33.8534685627916,1.579,"Bessel","Fixed",14
"beta",0.1,0.143900391536997,0.0976500133996561,0.212056526810205,0.0881059416397708,0.199694841434223,1.579,"Bessel","Fixed",14
"mu",15,24.3948226088871,16.5541857428193,35.9490571970423,14.9362265135785,33.8534187041958,0.987000000000002,"Bessel","Adaptive",14
"beta",0.1,0.143900119236772,0.0976497898972527,0.212056209625698,0.0881057759621756,0.199694462511368,0.987000000000002,"Bessel","Adaptive",14
"mu",15,24.3948226088545,16.5541857427685,35.9490571970563,14.936226513561,33.853418704148,1.085,"Full","Fixed",14
"beta",0.1,0.143900119236585,0.0976497898969523,0.212056209625798,0.0881057759620758,0.199694462511093,1.085,"Full","Fixed",14
"mu",15,24.3948204054456,16.5541839546827,35.9490545860223,14.9362251735726,33.8534156373185,0.461999999999996,"Full","Adaptive",14
"beta",0.1,0.143900107352442,0.09764978039478,0.212056195234939,0.0881057687394089,0.199694445965475,0.461999999999996,"Full","Adaptive",14
"mu",15,17.5124732957157,11.9052977858183,25.7605249738887,10.7540134366775,24.2709331547539,1.661,"Bessel","Fixed",15
"beta",0.1,0.114971665760838,0.0781598379148653,0.169121178861963,0.0706014784471981,0.159341853074479,1.661,"Bessel","Fixed",15
"mu",15,17.5124722854928,11.9052968286336,25.760524072994,10.7540128159483,24.2709317550374,0.939999999999998,"Bessel","Adaptive",15
"beta",0.1,0.114971673300192,0.0781598449282783,0.169121185866934,0.0706014830744697,0.159341863525914,0.939999999999998,"Bessel","Adaptive",15
"mu",15,17.5124722854891,11.9052968286121,25.7605240730294,10.7540128159344,24.2709317550437,1.096,"Full","Fixed",15
"beta",0.1,0.114971673300159,0.0781598449281203,0.16912118586718,0.0706014830743738,0.159341863525945,1.096,"Full","Fixed",15
"mu",15,17.5126050849106,11.9054043793786,25.7606820471598,10.7540935687842,24.271116601037,0.441000000000003,"Full","Adaptive",15
"beta",0.1,0.11497248046044,0.0781604903162282,0.169122164021042,0.0706019735078561,0.159342987413023,0.441000000000003,"Full","Adaptive",15
"mu",15,18.1616630032112,12.3439810784424,26.7212012839403,11.1487274689232,25.1745985374992,1.494,"Bessel","Fixed",16
"beta",0.1,0.121526465387871,0.0825981919142517,0.178801514263187,0.0746002854985923,0.168452645277151,1.494,"Bessel","Fixed",16
"mu",15,18.1616628093018,12.3439809348101,26.7212010242669,11.1487273516205,25.1745982669832,1.04,"Bessel","Adaptive",16
"beta",0.1,0.121526462835449,0.0825981897755401,0.178801511382146,0.0746002839433397,0.168452641727559,1.04,"Bessel","Adaptive",16
"mu",15,18.1616628092414,12.3439809347863,26.7212010241403,11.1487273515861,25.1745982668966,1.047,"Full","Fixed",16
"beta",0.1,0.121526462835049,0.082598189775397,0.178801511381277,0.0746002839431121,0.168452641726986,1.047,"Full","Fixed",16
"mu",15,18.1616629506435,12.3439810523139,26.7212011858157,11.1487274377098,25.1745984635772,0.493000000000002,"Full","Adaptive",16
"beta",0.1,0.121526463409885,0.0825981902133628,0.178801512124716,0.0746002842914492,0.168452642528321,0.493000000000002,"Full","Adaptive",16
"mu",15,17.4802020079423,11.8837540395039,25.712200136652,10.7347705771269,24.2256334387577,1.558,"Bessel","Fixed",17
"beta",0.1,0.108178851898411,0.0735443977027744,0.159123799549682,0.0664337193600222,0.1499239844368,1.558,"Bessel","Fixed",17
"mu",15,17.4801526626381,11.8837139472392,25.7121417147642,10.7347405652996,24.2255647599766,0.942999999999998,"Bessel","Adaptive",17
"beta",0.1,0.108178581181385,0.0735441821119653,0.159123469598196,0.0664335549139103,0.149923607448859,0.942999999999998,"Bessel","Adaptive",17
"mu",15,17.4801526626691,11.8837139472649,25.7121417147996,10.7347405653284,24.2255647600097,1.271,"Full","Fixed",17
"beta",0.1,0.108178581181574,0.0735441821121203,0.159123469598418,0.066433554914087,0.149923607449062,1.271,"Full","Fixed",17
"mu",15,17.4801526951928,11.8837139745176,25.712141751515,10.7347405851384,24.2255648052473,0.423000000000002,"Full","Adaptive",17
"beta",0.1,0.108178581283152,0.0735441821872336,0.159123469734728,0.0664335549754574,0.149923607590847,0.423000000000002,"Full","Adaptive",17
"mu",15,12.5018955088329,8.52021767354955,18.3442955687612,7.71352712106711,17.2902638965986,1.597,"Bessel","Fixed",18
"beta",0.1,0.0834338868252518,0.0568623595300826,0.122422170453306,0.0514763028790838,0.11539147077142,1.597,"Bessel","Fixed",18
"mu",15,12.5018943104868,8.52021658609888,18.3442943933596,7.7135263869155,17.2902622340582,0.948,"Bessel","Adaptive",18
"beta",0.1,0.0834338910607378,0.0568623637405181,0.122422173817842,0.0514763055255605,0.115391476595915,0.948,"Bessel","Adaptive",18
"mu",15,12.5018943104923,8.52021658608818,18.3442943933986,7.71352638692125,17.2902622340633,0.999000000000002,"Full","Fixed",18
"beta",0.1,0.0834338910607697,0.0568623637404513,0.12242217381808,0.0514763055255961,0.115391476595943,0.999000000000002,"Full","Fixed",18
"mu",15,12.5018557033242,8.52018332973481,18.3442526971545,7.71350285418486,17.2902085524634,0.484000000000002,"Full","Adaptive",18
"beta",0.1,0.0834338505646095,0.0568623453851635,0.122422094496544,0.0514762824093863,0.115391418719833,0.484000000000002,"Full","Adaptive",18
"mu",15,19.6932927047906,13.3782405246149,28.989296226435,12.0789406563668,27.3076447532145,1.694,"Bessel","Fixed",19
"beta",0.1,0.130953320265686,0.0889604634620361,0.192768466139182,0.0803206123866815,0.181586028144691,1.694,"Bessel","Fixed",19
"mu",15,19.6931944304285,13.3781602035461,28.9891809467091,12.0788808658247,27.3075079950323,1.023,"Bessel","Adaptive",19
"beta",0.1,0.130952784742831,0.0889600400750372,0.192767806955095,0.0803202871558315,0.181585282329831,1.023,"Bessel","Adaptive",19
"mu",15,19.6931944304713,13.3781602036099,28.9891809466969,12.0788808658448,27.3075079950978,1.186,"Full","Fixed",19
"beta",0.1,0.130952784743124,0.0889600400754655,0.19276780695503,0.0803202871559705,0.181585282330278,1.186,"Full","Fixed",19
"mu",15,19.6931941075945,13.3781599386729,28.989180570214,12.0788806693575,27.3075075458314,0.451000000000001,"Full","Adaptive",19
"beta",0.1,0.130952783086811,0.0889600387742867,0.192767804898237,0.0803202861503728,0.181585280023249,0.451000000000001,"Full","Adaptive",19
"mu",15,15.1655574500149,10.3203722238266,22.2854493793078,9.32891860979204,21.0021962902377,1.69799999999999,"Bessel","Fixed",20
"beta",0.1,0.105481158553245,0.0717814978297671,0.155001987226865,0.0648853672074813,0.146076949899009,1.69799999999999,"Bessel","Fixed",20
"mu",15,15.1655882400136,10.3203972411788,22.285485848156,9.32893733042185,21.0022391496053,0.868000000000002,"Bessel","Adaptive",20
"beta",0.1,0.105481347110938,0.0717816478219444,0.155002217501849,0.0648854816741947,0.146077212547681,0.868000000000002,"Bessel","Adaptive",20
"mu",15,15.1655882399631,10.3203972411538,22.2854858480616,9.328937330393,21.0022391495331,0.966000000000001,"Full","Fixed",20
"beta",0.1,0.105481347110585,0.0717816478217657,0.155002217501198,0.0648854816739933,0.146077212547177,0.966000000000001,"Full","Fixed",20
"mu",15,15.1656844962734,10.3204738952329,22.2856032169942,9.32899577053697,21.0023732220098,0.457999999999998,"Full","Adaptive",20
"beta",0.1,0.1054820985028,0.0717822577857753,0.155003108675682,0.0648859385359785,0.146078258469621,0.457999999999998,"Full","Adaptive",20
"mu",15,18.5727517809564,12.6213851668288,27.3303685893051,11.3981122957201,25.7473912661928,1.712,"Bessel","Fixed",21
"beta",0.1,0.126289343308784,0.0858217613380463,0.185838626295981,0.0775038610983772,0.175074825519192,1.712,"Bessel","Fixed",21
"mu",15,18.5727360127808,12.6213719215938,27.3303508638612,11.3981026864904,25.7473693390713,0.905000000000001,"Bessel","Adaptive",21
"beta",0.1,0.126289292198172,0.0858217239289498,0.185838556880063,0.0775038301920667,0.175074754204277,0.905000000000001,"Bessel","Adaptive",21
"mu",15,18.5727360127341,12.6213719215566,27.3303508638043,11.3981026864527,25.7473693390155,1.047,"Full","Fixed",21
"beta",0.1,0.126289292197868,0.0858217239287194,0.185838556879667,0.0775038301918189,0.175074754203916,1.047,"Full","Fixed",21
"mu",15,18.572735968337,12.6213718850315,27.3303508122327,11.3981026594379,25.7473692772361,0.454000000000001,"Full","Adaptive",21
"beta",0.1,0.126289291977679,0.0858217237570345,0.185838556603406,0.0775038300582649,0.175074753897094,0.454000000000001,"Full","Adaptive",21
"mu",15,13.6909814155584,9.32509796064446,20.1009118523202,8.43541949561082,18.946543335506,1.61499999999999,"Bessel","Fixed",22
"beta",0.1,0.0932697283945142,0.0635275398823142,0.136936551468889,0.0574656998637439,0.129073756925284,1.61499999999999,"Bessel","Fixed",22
"mu",15,13.6909688303764,9.32508751467026,20.1008974145769,8.43541183721095,18.9465258235419,1.05,"Bessel","Adaptive",22
"beta",0.1,0.0932696754134174,0.0635274994377815,0.136936483077604,0.0574656678665788,0.129073682960256,1.05,"Bessel","Adaptive",22
"mu",15,13.6909688303849,9.3250875146786,20.1008974145839,8.43541183721446,18.9465258235554,1.174,"Full","Fixed",22
"beta",0.1,0.0932696754134789,0.0635274994378459,0.136936483077645,0.0574656678666049,0.129073682960353,1.174,"Full","Fixed",22
"mu",15,13.6909835697459,9.32509958655938,20.1009146730422,8.43542079648165,18.9465463430101,0.542000000000002,"Full","Adaptive",22
"beta",0.1,0.0932697539543721,0.0635275611646173,0.136936580646737,0.0574657154331252,0.129073792475619,0.542000000000002,"Full","Adaptive",22
"mu",15,18.1244367551087,12.3185293397472,26.6667553106365,11.1256491710191,25.1232243391983,1.582,"Bessel","Fixed",23
"beta",0.1,0.117006084622289,0.0795248373652844,0.17215280523937,0.0718239396463335,0.162188229598245,1.582,"Bessel","Fixed",23
"mu",15,18.1243986627243,12.3184983869869,26.6667102243873,11.1256260027089,25.1231713227396,0.914000000000001,"Bessel","Adaptive",23
"beta",0.1,0.117005866508178,0.07952466363006,0.172152539506682,0.0718238071426033,0.162187925873752,0.914000000000001,"Bessel","Adaptive",23
"mu",15,18.1243986627564,12.3184983870303,26.6667102243878,11.1256260027335,25.1231713227792,1.036,"Full","Fixed",23
"beta",0.1,0.117005866508364,0.0795246636303297,0.172152539506646,0.0718238071427491,0.162187925873978,1.036,"Full","Fixed",23
"mu",15,18.1243983859716,12.3184981590317,26.6667099034769,11.1256258342314,25.1231709377119,0.451000000000001,"Full","Adaptive",23
